"PLN_AREA_N","customer_expectations_score","perceived_overall_quality_score","perceived_value_score","customer_satisfaction_score","customer_loyaltyâ€Ž_user_trust_score"
"Singapore, ANG MO KIO",69.353167375,72.33732275,71.56893525,67.06677275,76.225425875
"Singapore, BEDOK",73.8495445,81.077643,91.5778135,74.232548,85.1009145
"Singapore, BISHAN",70.513155,67.310383,66.666667,63.367683,62.676268
"Singapore, BUKIT BATOK",66.1968354285714,67.4037612857143,66.719312,66.4939788571429,68.6819471428571
"Singapore, BUKIT MERAH",72.3223715,75.714867875,77.867450125,70.97634875,72.5214865
"Singapore, BUKIT PANJANG",68.41590925,66.56615025,72.1300935,67.46899925,70.0670065
"Singapore, CHOA CHU KANG",72.4546285,70.614757,65.32056675,68.53201675,74.22521025
"Singapore, CLEMENTI",72.7842831666667,66.8786383333333,74.9790548333333,69.9525956666667,71.6335983333333
"Singapore, GEYLANG",75.934988,74.220328,75.0889615,69.887915,67.7319015
"Singapore, HOUGANG",75.4839525,68.1974699285714,66.3864210714286,66.7395234285714,69.270235
"Singapore, JURONG EAST",76.06871,64.5709755,63.79676,66.1039895,76.498804
"Singapore, JURONG WEST",75.4792557142857,77.2093988571429,75.3968408571429,70.7110531428571,67.7582551428571
"Singapore, MARINE PARADE",77.03855,77.165541,72.044516,70.352541,78.790077
"Singapore, NOVENA",84.760341,77.109796,83.51104,81.814378,78.790077
"Singapore, PASIR RIS",71.9520952,71.2189414,68.8229726,72.7538734,73.0427784
"Singapore, PUNGGOL",75.284835,71.0630933333333,70.493209,66.9147773333333,74.491705
"Singapore, QUEENSTOWN",62.9045246666667,80.0336506666667,75.807419,74.3118376666667,77.8234306666667
"Singapore, SEMBAWANG",72.2222225,75.759011,83.51104,77.453796,81.8148845
"Singapore, SENGKANG",67.2299235714286,69.9633071428571,69.2253791428572,71.1212534285714,69.7890095714286
"Singapore, SERANGOON",72.7394911111111,69.105929,66.6878556666667,62.3548008888889,65.0312207777778
"Singapore, TAMPINES",71.3604666,67.5284722,73.1963344,71.1207112,72.8893734
"Singapore, TOA PAYOH",69.1084916666667,60.7105083333333,63.2624783333333,61.0775795,63.8093951666667
"Singapore, WOODLANDS",73.4429588333333,77.3833581666667,75.1756033333333,76.4463438333333,72.1905695
"Singapore, YISHUN",77.7278653333333,73.4265268888889,74.7103754444444,74.8599425555556,74.6288908888889
