planning_area,,year,weight_of_market_share,customer_expectations_score,perceived_overall_quality_score,perceived_value_score,customer_satisfaction_score,customer_loyalty‎_user_trust_score,taxi_agg_service_info,taxi_agg_customer_service,taxi_agg_convenience,taxi_agg_comfort,taxi_agg_safety,taxi_agg_affordability
ANG MO KIO,year,1.0,0.0,0.87,0.87,0.87,0.87,0.0,-1.0,1.0,0.87,-0.5,0.87,1.0
ANG MO KIO,weight_of_market_share,0.0,1.0,-0.5,-0.5,0.5,0.5,-1.0,0.0,0.0,0.5,-0.87,-0.5,0.0
ANG MO KIO,customer_loyalty‎_user_trust_score,0.0,-1.0,0.5,0.5,-0.5,-0.5,1.0,0.0,0.0,-0.5,0.87,0.5,0.0
ANG MO KIO,taxi_agg_service_info,-1.0,0.0,-0.87,-0.87,-0.87,-0.87,0.0,1.0,-1.0,-0.87,0.5,-0.87,-1.0
ANG MO KIO,taxi_agg_customer_service,1.0,0.0,0.87,0.87,0.87,0.87,0.0,-1.0,1.0,0.87,-0.5,0.87,1.0
ANG MO KIO,taxi_agg_convenience,0.87,0.5,0.5,0.5,1.0,1.0,-0.5,-0.87,0.87,1.0,-0.87,0.5,0.87
ANG MO KIO,taxi_agg_comfort,-0.5,-0.87,0.0,0.0,-0.87,-0.87,0.87,0.5,-0.5,-0.87,1.0,0.0,-0.5
ANG MO KIO,taxi_agg_safety,0.87,-0.5,1.0,1.0,0.5,0.5,0.5,-0.87,0.87,0.5,0.0,1.0,0.87
ANG MO KIO,taxi_agg_affordability,1.0,0.0,0.87,0.87,0.87,0.87,0.0,-1.0,1.0,0.87,-0.5,0.87,1.0
BEDOK,year,1.0,0.67,0.31,-0.21,-0.36,-0.21,-0.36,-0.05,0.37,0.36,-0.05,0.29,-0.29
BEDOK,weight_of_market_share,0.67,1.0,0.3,-0.1,0.0,-0.1,-0.3,-0.36,-0.15,-0.2,-0.36,-0.36,-0.05
BEDOK,customer_loyalty‎_user_trust_score,-0.36,-0.3,0.7,0.9,0.7,0.9,1.0,0.67,0.46,0.3,0.67,0.21,0.82
BEDOK,taxi_agg_service_info,-0.05,-0.36,0.31,0.82,0.67,0.82,0.67,1.0,0.89,0.87,1.0,0.82,0.76
BEDOK,taxi_agg_customer_service,0.37,-0.15,0.41,0.62,0.36,0.62,0.46,0.89,1.0,0.97,0.89,0.92,0.5
BEDOK,taxi_agg_convenience,0.36,-0.2,0.2,0.5,0.3,0.5,0.3,0.87,0.97,1.0,0.87,0.97,0.41
BEDOK,taxi_agg_comfort,-0.05,-0.36,0.31,0.82,0.67,0.82,0.67,1.0,0.89,0.87,1.0,0.82,0.76
BEDOK,taxi_agg_safety,0.29,-0.36,0.05,0.36,0.15,0.36,0.21,0.82,0.92,0.97,0.82,1.0,0.26
BEDOK,taxi_agg_affordability,-0.29,-0.05,0.46,0.97,0.97,0.97,0.82,0.76,0.5,0.41,0.76,0.26,1.0
BUKIT BATOK,year,1.0,0.73,-0.71,0.0,-0.73,0.35,0.36,0.79,1.0,0.75,0.19,0.75,0.25
BUKIT BATOK,weight_of_market_share,0.73,1.0,-0.82,-0.67,-0.55,0.87,-0.26,0.8,0.73,0.43,0.81,0.11,0.54
BUKIT BATOK,customer_loyalty‎_user_trust_score,0.36,-0.26,0.21,0.87,0.13,-0.62,1.0,0.23,0.36,0.49,-0.68,0.81,-0.73
BUKIT BATOK,taxi_agg_service_info,0.79,0.8,-0.45,-0.22,-0.34,0.45,0.23,1.0,0.79,0.82,0.47,0.35,0.0
BUKIT BATOK,taxi_agg_customer_service,1.0,0.73,-0.71,0.0,-0.73,0.35,0.36,0.79,1.0,0.75,0.19,0.75,0.25
BUKIT BATOK,taxi_agg_convenience,0.75,0.43,-0.11,0.21,-0.43,-0.05,0.49,0.82,0.75,1.0,-0.03,0.56,-0.19
BUKIT BATOK,taxi_agg_comfort,0.19,0.81,-0.58,-0.95,-0.16,0.95,-0.68,0.47,0.19,-0.03,1.0,-0.47,0.56
BUKIT BATOK,taxi_agg_safety,0.75,0.11,-0.32,0.63,-0.43,-0.26,0.81,0.35,0.75,0.56,-0.47,1.0,-0.19
BUKIT BATOK,taxi_agg_affordability,0.25,0.54,-0.71,-0.71,-0.73,0.71,-0.73,0.0,0.25,-0.19,0.56,-0.19,1.0
BUKIT MERAH,year,1.0,0.5,-0.5,-0.5,1.0,0.5,1.0,0.0,1.0,0.5,-0.87,0.87,0.0
BUKIT MERAH,weight_of_market_share,0.5,1.0,-1.0,0.5,0.5,1.0,0.5,-0.87,0.5,1.0,-0.87,0.87,0.87
BUKIT MERAH,customer_loyalty‎_user_trust_score,1.0,0.5,-0.5,-0.5,1.0,0.5,1.0,0.0,1.0,0.5,-0.87,0.87,0.0
BUKIT MERAH,taxi_agg_service_info,0.0,-0.87,0.87,-0.87,0.0,-0.87,0.0,1.0,0.0,-0.87,0.5,-0.5,-1.0
BUKIT MERAH,taxi_agg_customer_service,1.0,0.5,-0.5,-0.5,1.0,0.5,1.0,0.0,1.0,0.5,-0.87,0.87,0.0
BUKIT MERAH,taxi_agg_convenience,0.5,1.0,-1.0,0.5,0.5,1.0,0.5,-0.87,0.5,1.0,-0.87,0.87,0.87
BUKIT MERAH,taxi_agg_comfort,-0.87,-0.87,0.87,0.0,-0.87,-0.87,-0.87,0.5,-0.87,-0.87,1.0,-1.0,-0.5
BUKIT MERAH,taxi_agg_safety,0.87,0.87,-0.87,0.0,0.87,0.87,0.87,-0.5,0.87,0.87,-1.0,1.0,0.5
BUKIT MERAH,taxi_agg_affordability,0.0,0.87,-0.87,0.87,0.0,0.87,0.0,-1.0,0.0,0.87,-0.5,0.5,1.0
BUKIT PANJANG,year,1.0,0.53,-0.95,0.32,0.11,0.0,-0.32,0.08,0.82,0.87,-0.58,0.56,0.03
BUKIT PANJANG,weight_of_market_share,0.53,1.0,-0.4,0.9,0.7,0.5,-0.1,-0.32,0.67,0.67,0.0,0.95,0.37
BUKIT PANJANG,customer_loyalty‎_user_trust_score,-0.32,-0.1,0.3,-0.2,-0.5,0.6,1.0,0.79,-0.22,-0.36,0.47,-0.11,0.79
BUKIT PANJANG,taxi_agg_service_info,0.08,-0.32,-0.16,-0.47,-0.79,0.32,0.79,1.0,0.0,-0.16,0.0,-0.25,0.58
BUKIT PANJANG,taxi_agg_customer_service,0.82,0.67,-0.89,0.67,0.45,0.45,-0.22,0.0,1.0,0.57,-0.71,0.82,0.35
BUKIT PANJANG,taxi_agg_convenience,0.87,0.67,-0.67,0.36,0.21,-0.15,-0.36,-0.16,0.57,1.0,-0.16,0.54,-0.14
BUKIT PANJANG,taxi_agg_comfort,-0.58,0.0,0.79,-0.16,-0.16,0.0,0.47,0.0,-0.71,-0.16,1.0,-0.25,0.08
BUKIT PANJANG,taxi_agg_safety,0.56,0.95,-0.53,0.95,0.74,0.63,-0.11,-0.25,0.82,0.54,-0.25,1.0,0.47
BUKIT PANJANG,taxi_agg_affordability,0.03,0.37,-0.11,0.37,0.0,0.95,0.79,0.58,0.35,-0.14,0.08,0.47,1.0
CHOA CHU KANG,year,1.0,0.0,-0.87,0.0,0.5,0.0,0.87,,0.87,1.0,-0.87,0.87,1.0
CHOA CHU KANG,weight_of_market_share,0.0,1.0,-0.5,1.0,0.87,1.0,0.5,,0.5,0.0,0.5,0.5,0.0
CHOA CHU KANG,customer_loyalty‎_user_trust_score,0.87,0.5,-1.0,0.5,0.87,0.5,1.0,,1.0,0.87,-0.5,1.0,0.87
CHOA CHU KANG,taxi_agg_customer_service,0.87,0.5,-1.0,0.5,0.87,0.5,1.0,,1.0,0.87,-0.5,1.0,0.87
CHOA CHU KANG,taxi_agg_convenience,1.0,0.0,-0.87,0.0,0.5,0.0,0.87,,0.87,1.0,-0.87,0.87,1.0
CHOA CHU KANG,taxi_agg_comfort,-0.87,0.5,0.5,0.5,0.0,0.5,-0.5,,-0.5,-0.87,1.0,-0.5,-0.87
CHOA CHU KANG,taxi_agg_safety,0.87,0.5,-1.0,0.5,0.87,0.5,1.0,,1.0,0.87,-0.5,1.0,0.87
CHOA CHU KANG,taxi_agg_affordability,1.0,0.0,-0.87,0.0,0.5,0.0,0.87,,0.87,1.0,-0.87,0.87,1.0
CLEMENTI,weight_of_market_share,,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,,-1.0,,,1.0
CLEMENTI,customer_loyalty‎_user_trust_score,,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,,1.0,,,-1.0
CLEMENTI,taxi_agg_service_info,,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,,-1.0,,,1.0
CLEMENTI,taxi_agg_convenience,,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,,1.0,,,-1.0
CLEMENTI,taxi_agg_affordability,,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,,-1.0,,,1.0
HOUGANG,year,1.0,0.02,0.12,0.12,0.28,0.46,0.31,-0.67,0.91,0.95,-0.89,0.9,-0.32
HOUGANG,weight_of_market_share,0.02,1.0,-0.15,0.47,-0.03,-0.03,0.26,0.32,0.23,-0.09,0.31,0.02,-0.46
HOUGANG,customer_loyalty‎_user_trust_score,0.31,0.26,0.43,0.37,0.49,0.94,1.0,0.0,0.18,0.26,-0.15,-0.06,-0.4
HOUGANG,taxi_agg_service_info,-0.67,0.32,-0.62,-0.41,-0.62,-0.21,0.0,1.0,-0.75,-0.85,0.88,-0.78,0.56
HOUGANG,taxi_agg_customer_service,0.91,0.23,0.26,0.44,0.44,0.26,0.18,-0.75,1.0,0.91,-0.84,0.95,-0.57
HOUGANG,taxi_agg_convenience,0.95,-0.09,0.35,0.26,0.44,0.44,0.26,-0.85,0.91,1.0,-0.94,0.91,-0.48
HOUGANG,taxi_agg_comfort,-0.89,0.31,-0.39,-0.21,-0.52,-0.39,-0.15,0.88,-0.84,-0.94,1.0,-0.89,0.33
HOUGANG,taxi_agg_safety,0.9,0.02,0.12,0.22,0.28,0.09,-0.06,-0.78,0.95,0.91,-0.89,1.0,-0.37
HOUGANG,taxi_agg_affordability,-0.32,-0.46,-0.74,-0.93,-0.74,-0.31,-0.4,0.56,-0.57,-0.48,0.33,-0.37,1.0
JURONG EAST,year,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
JURONG EAST,weight_of_market_share,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
JURONG EAST,customer_loyalty‎_user_trust_score,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
JURONG EAST,taxi_agg_service_info,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
JURONG EAST,taxi_agg_customer_service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
JURONG EAST,taxi_agg_convenience,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
JURONG EAST,taxi_agg_comfort,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
JURONG EAST,taxi_agg_safety,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
JURONG EAST,taxi_agg_affordability,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
JURONG WEST,year,1.0,0.37,0.27,0.09,-0.51,0.32,0.28,-0.5,0.85,0.84,0.0,0.83,-0.28
JURONG WEST,weight_of_market_share,0.37,1.0,-0.3,-0.1,-0.53,-0.09,-0.37,0.05,-0.01,0.55,-0.28,0.49,0.21
JURONG WEST,customer_loyalty‎_user_trust_score,0.28,-0.37,0.49,0.41,-0.39,0.54,1.0,-0.37,0.29,0.25,0.37,0.0,-0.18
JURONG WEST,taxi_agg_service_info,-0.5,0.05,-0.27,0.18,0.23,-0.05,-0.37,1.0,-0.33,-0.33,0.5,-0.37,0.05
JURONG WEST,taxi_agg_customer_service,0.85,-0.01,0.16,0.3,-0.12,0.42,0.29,-0.33,1.0,0.69,0.14,0.68,-0.56
JURONG WEST,taxi_agg_convenience,0.84,0.55,-0.02,0.24,-0.43,0.51,0.25,-0.33,0.69,1.0,-0.14,0.88,-0.04
JURONG WEST,taxi_agg_comfort,0.0,-0.28,0.55,0.55,-0.09,0.41,0.37,0.5,0.14,-0.14,1.0,-0.23,-0.24
JURONG WEST,taxi_agg_safety,0.83,0.49,0.08,0.08,-0.29,0.44,0.0,-0.37,0.68,0.88,-0.23,1.0,0.08
JURONG WEST,taxi_agg_affordability,-0.28,0.21,0.2,-0.33,0.04,0.08,-0.18,0.05,-0.56,-0.04,-0.24,0.08,1.0
MARINE PARADE,weight_of_market_share,,1.0,-1.0,1.0,1.0,1.0,-1.0,,1.0,-1.0,,,
MARINE PARADE,customer_loyalty‎_user_trust_score,,-1.0,1.0,-1.0,-1.0,-1.0,1.0,,-1.0,1.0,,,
MARINE PARADE,taxi_agg_customer_service,,1.0,-1.0,1.0,1.0,1.0,-1.0,,1.0,-1.0,,,
MARINE PARADE,taxi_agg_convenience,,-1.0,1.0,-1.0,-1.0,-1.0,1.0,,-1.0,1.0,,,
PASIR RIS,weight_of_market_share,,1.0,0.0,0.5,0.0,0.87,-0.5,-0.87,0.0,-0.87,-0.87,0.87,-0.87
PASIR RIS,customer_loyalty‎_user_trust_score,,-0.5,0.87,-1.0,0.87,-0.87,1.0,0.87,0.87,0.87,0.87,-0.87,0.87
PASIR RIS,taxi_agg_service_info,,-0.87,0.5,-0.87,0.5,-1.0,0.87,1.0,0.5,1.0,1.0,-1.0,1.0
PASIR RIS,taxi_agg_customer_service,,0.0,1.0,-0.87,1.0,-0.5,0.87,0.5,1.0,0.5,0.5,-0.5,0.5
PASIR RIS,taxi_agg_convenience,,-0.87,0.5,-0.87,0.5,-1.0,0.87,1.0,0.5,1.0,1.0,-1.0,1.0
PASIR RIS,taxi_agg_comfort,,-0.87,0.5,-0.87,0.5,-1.0,0.87,1.0,0.5,1.0,1.0,-1.0,1.0
PASIR RIS,taxi_agg_safety,,0.87,-0.5,0.87,-0.5,1.0,-0.87,-1.0,-0.5,-1.0,-1.0,1.0,-1.0
PASIR RIS,taxi_agg_affordability,,-0.87,0.5,-0.87,0.5,-1.0,0.87,1.0,0.5,1.0,1.0,-1.0,1.0
PUNGGOL,year,1.0,0.0,0.87,-0.87,0.0,-0.87,-0.87,,-1.0,-0.5,-1.0,0.5,
PUNGGOL,weight_of_market_share,0.0,1.0,-0.5,0.5,1.0,0.5,0.5,,0.0,-0.87,0.0,0.87,
PUNGGOL,customer_loyalty‎_user_trust_score,-0.87,0.5,-1.0,1.0,0.5,1.0,1.0,,0.87,0.0,0.87,0.0,
PUNGGOL,taxi_agg_customer_service,-1.0,0.0,-0.87,0.87,0.0,0.87,0.87,,1.0,0.5,1.0,-0.5,
PUNGGOL,taxi_agg_convenience,-0.5,-0.87,0.0,0.0,-0.87,0.0,0.0,,0.5,1.0,0.5,-1.0,
PUNGGOL,taxi_agg_comfort,-1.0,0.0,-0.87,0.87,0.0,0.87,0.87,,1.0,0.5,1.0,-0.5,
PUNGGOL,taxi_agg_safety,0.5,0.87,0.0,0.0,0.87,0.0,0.0,,-0.5,-1.0,-0.5,1.0,
SEMBAWANG,customer_loyalty‎_user_trust_score,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SEMBAWANG,taxi_agg_service_info,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SEMBAWANG,taxi_agg_customer_service,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SEMBAWANG,taxi_agg_convenience,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SEMBAWANG,taxi_agg_comfort,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SEMBAWANG,taxi_agg_safety,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SEMBAWANG,taxi_agg_affordability,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SENGKANG,year,1.0,0.36,0.17,0.51,-0.44,0.17,0.27,-0.24,0.9,0.9,-0.35,0.9,0.78
SENGKANG,weight_of_market_share,0.36,1.0,0.88,0.82,0.33,0.71,0.52,0.23,0.23,0.42,-0.13,0.03,0.38
SENGKANG,customer_loyalty‎_user_trust_score,0.27,0.52,0.26,0.89,-0.03,0.72,1.0,0.77,0.15,-0.03,0.12,0.09,0.53
SENGKANG,taxi_agg_service_info,-0.24,0.23,0.22,0.49,-0.12,0.75,0.77,1.0,-0.23,-0.52,0.58,-0.2,0.11
SENGKANG,taxi_agg_customer_service,0.9,0.23,0.21,0.33,-0.39,0.03,0.15,-0.23,1.0,0.87,0.0,0.87,0.47
SENGKANG,taxi_agg_convenience,0.9,0.42,0.33,0.33,-0.15,-0.03,-0.03,-0.52,0.87,1.0,-0.38,0.74,0.5
SENGKANG,taxi_agg_comfort,-0.35,-0.13,0.24,-0.12,-0.12,0.24,0.12,0.58,0.0,-0.38,1.0,-0.13,-0.49
SENGKANG,taxi_agg_safety,0.9,0.03,-0.03,0.21,-0.76,0.09,0.09,-0.2,0.87,0.74,-0.13,1.0,0.69
SENGKANG,taxi_agg_affordability,0.78,0.38,0.03,0.65,-0.53,0.48,0.53,0.11,0.47,0.5,-0.49,0.69,1.0
SERANGOON,year,1.0,0.0,0.0,0.89,-0.58,0.89,-0.89,,1.0,0.94,0.58,0.94,0.94
SERANGOON,weight_of_market_share,0.0,1.0,1.0,0.2,0.77,0.2,0.4,,0.0,-0.11,-0.26,-0.11,-0.11
SERANGOON,customer_loyalty‎_user_trust_score,-0.89,0.4,0.4,-0.8,0.77,-0.8,1.0,,-0.89,-0.95,-0.77,-0.95,-0.95
SERANGOON,taxi_agg_customer_service,1.0,0.0,0.0,0.89,-0.58,0.89,-0.89,,1.0,0.94,0.58,0.94,0.94
SERANGOON,taxi_agg_convenience,0.94,-0.11,-0.11,0.95,-0.54,0.95,-0.95,,0.94,1.0,0.82,1.0,1.0
SERANGOON,taxi_agg_comfort,0.58,-0.26,-0.26,0.77,-0.33,0.77,-0.77,,0.58,0.82,1.0,0.82,0.82
SERANGOON,taxi_agg_safety,0.94,-0.11,-0.11,0.95,-0.54,0.95,-0.95,,0.94,1.0,0.82,1.0,1.0
SERANGOON,taxi_agg_affordability,0.94,-0.11,-0.11,0.95,-0.54,0.95,-0.95,,0.94,1.0,0.82,1.0,1.0
TAMPINES,year,1.0,0.57,0.05,0.16,0.2,0.12,-0.23,0.31,0.75,0.79,0.51,0.86,0.0
TAMPINES,weight_of_market_share,0.57,1.0,0.23,0.61,0.52,0.62,0.28,0.69,0.81,0.77,0.84,0.65,0.69
TAMPINES,customer_loyalty‎_user_trust_score,-0.23,0.28,0.39,0.55,0.19,0.7,1.0,0.12,0.06,0.2,0.23,0.08,0.45
TAMPINES,taxi_agg_service_info,0.31,0.69,0.5,0.37,0.47,0.62,0.12,1.0,0.64,0.6,0.8,0.49,0.7
TAMPINES,taxi_agg_customer_service,0.75,0.81,0.35,0.45,0.36,0.62,0.06,0.64,1.0,0.94,0.67,0.8,0.57
TAMPINES,taxi_agg_convenience,0.79,0.77,0.53,0.56,0.51,0.67,0.2,0.6,0.94,1.0,0.7,0.85,0.51
TAMPINES,taxi_agg_comfort,0.51,0.84,0.42,0.56,0.55,0.53,0.23,0.8,0.67,0.7,1.0,0.61,0.6
TAMPINES,taxi_agg_safety,0.86,0.65,0.26,0.47,0.27,0.39,0.08,0.49,0.8,0.85,0.61,1.0,0.26
TAMPINES,taxi_agg_affordability,0.0,0.69,0.54,0.69,0.56,0.74,0.45,0.7,0.57,0.51,0.6,0.26,1.0
TOA PAYOH,weight_of_market_share,,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,,
TOA PAYOH,customer_loyalty‎_user_trust_score,,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,
TOA PAYOH,taxi_agg_service_info,,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,
TOA PAYOH,taxi_agg_comfort,,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,
WOODLANDS,year,1.0,-0.16,-0.47,0.47,-0.32,0.79,0.63,0.25,0.83,0.81,0.66,0.87,0.35
WOODLANDS,weight_of_market_share,-0.16,1.0,-0.02,0.27,0.05,0.04,-0.63,-0.42,-0.21,-0.3,-0.25,-0.31,-0.61
WOODLANDS,customer_loyalty‎_user_trust_score,0.63,-0.63,-0.18,0.25,-0.14,0.54,1.0,0.37,0.36,0.49,0.34,0.73,0.54
WOODLANDS,taxi_agg_service_info,0.25,-0.42,0.22,0.34,0.54,0.34,0.37,1.0,0.48,0.58,0.67,0.57,0.5
WOODLANDS,taxi_agg_customer_service,0.83,-0.21,-0.11,0.56,0.07,0.77,0.36,0.48,1.0,0.97,0.94,0.85,0.52
WOODLANDS,taxi_agg_convenience,0.81,-0.3,0.04,0.65,0.2,0.84,0.49,0.58,0.97,1.0,0.97,0.92,0.61
WOODLANDS,taxi_agg_comfort,0.66,-0.25,0.19,0.67,0.36,0.77,0.34,0.67,0.94,0.97,1.0,0.85,0.56
WOODLANDS,taxi_agg_safety,0.87,-0.31,-0.04,0.71,0.1,0.91,0.73,0.57,0.85,0.92,0.85,1.0,0.53
WOODLANDS,taxi_agg_affordability,0.35,-0.61,0.18,0.18,0.42,0.42,0.54,0.5,0.52,0.61,0.56,0.53,1.0
YISHUN,year,1.0,0.0,0.0,0.87,0.87,0.0,0.87,-1.0,1.0,0.87,-1.0,0.87,0.5
YISHUN,weight_of_market_share,0.0,1.0,1.0,0.5,0.5,1.0,0.5,0.0,0.0,-0.5,0.0,-0.5,0.87
YISHUN,customer_loyalty‎_user_trust_score,0.87,0.5,0.5,1.0,1.0,0.5,1.0,-0.87,0.87,0.5,-0.87,0.5,0.87
YISHUN,taxi_agg_service_info,-1.0,0.0,0.0,-0.87,-0.87,0.0,-0.87,1.0,-1.0,-0.87,1.0,-0.87,-0.5
YISHUN,taxi_agg_customer_service,1.0,0.0,0.0,0.87,0.87,0.0,0.87,-1.0,1.0,0.87,-1.0,0.87,0.5
YISHUN,taxi_agg_convenience,0.87,-0.5,-0.5,0.5,0.5,-0.5,0.5,-0.87,0.87,1.0,-0.87,1.0,0.0
YISHUN,taxi_agg_comfort,-1.0,0.0,0.0,-0.87,-0.87,0.0,-0.87,1.0,-1.0,-0.87,1.0,-0.87,-0.5
YISHUN,taxi_agg_safety,0.87,-0.5,-0.5,0.5,0.5,-0.5,0.5,-0.87,0.87,1.0,-0.87,1.0,0.0
YISHUN,taxi_agg_affordability,0.5,0.87,0.87,0.87,0.87,0.87,0.87,-0.5,0.5,0.0,-0.5,0.0,1.0
