Distance,Card Fare Per Ride (cent),,
,Tap in before 7.45am*,All other timings,Cash Fare Per Ride (cent)
Up to 3.2 km, 42, 92, 170
3.3 km - 4.2 km, 52, 102, 190
4.3 km - 5.2 km, 62, 112, 190
5.3 km - 6.2 km, 72, 122, 190
6.3 km - 7.2 km, 81, 131, 210
7.3 km - 8.2 km, 88, 138, 210
8.3 km - 9.2 km, 94, 144, 210
9.3 km - 10.2 km, 98, 148, 230
10.3 km - 11.2 km, 102, 152, 230
11.3 km - 12.2 km, 106, 156, 250
12.3 km - 13.2 km, 110, 160, 250
13.3 km - 14.2 km, 114, 164, 250
14.3 km - 15.2 km, 118, 168, 250
15.3 km - 16.2 km, 122, 172, 260
16.3 km - 17.2 km, 126, 176, 260
17.3 km - 18.2 km, 130, 180, 260
8.3 km - 19.2 km, 134, 184, 260
19.3 km - 20.2 km, 137, 187, 270
20.3 km - 21.2 km, 140, 190, 270
21.3 km - 22.2 km, 143, 193, 270
22.3 km - 23.2 km, 146, 196, 270
23.3 km - 24.2 km, 148, 198, 280
24.3 km - 25.2 km, 150, 200, 280
25.3 km - 26.2 km, 152, 202, 280
26.3 km - 27.2 km, 153, 203, 280
27.3 km - 28.2 km, 154, 204, 280
28.3 km - 29.2 km, 155, 205, 280
29.3 km - 30.2 km, 156, 206, 280
30.3 km - 31.2 km, 157, 207, 280
31.3 km - 32.2 km, 158, 208, 280
32.3 km - 33.2 km, 159, 209, 280
33.3 km - 34.2 km, 160, 210, 280
34.3 km - 35.2 km, 161, 211, 280
35.3 km - 36.2 km, 162, 212, 280
36.3 km - 37.2 km, 163, 213, 280
37.3 km - 38.2 km, 164, 214, 280
38.3 km - 39.2 km, 165, 215, 280
39.3 km - 40.2 km, 166, 216, 280
Over 40.2 km, 167, 217, 280