age,gender,monthly_income,instituition,region,location,type_of_student,type_of_employment,convenient_rental_car,difficulties_rental_car,reason_chosen_rental_car_company_convenient,reason_rental_car_convenience,reason_rental_car_occasions,affordable_bus,affordable_mrt,safe_taxi,safe_ride_hailing,safe_bus,safe_mrt,reason_taxi_comfort_of_privacy,reason_ride_hailing_ comfort_of_privacy,reason_ride_hailing_promotion,reason_taxi_promotion,customer_service_taxi,customer_service_ride_hailing,reason_ride_hailing_accessible,reason_taxi_more_accessible,reason_ride_hailing_easy_booking
1,0,4,17,2,38,0,2,0,0,0,0,0,1,1,1,1,2,1,0,0,1,1,0,0,1,1,0
1,0,4,17,4,3,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2,0,0,1
1,1,4,16,4,3,0,2,0,0,0,0,0,1,1,2,1,1,1,0,0,1,0,1,2,1,0,1
0,0,4,17,1,30,0,2,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,2,1,0,1,0
1,0,5,15,1,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4,9,2,21,0,2,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0
1,0,4,8,4,8,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
0,0,2,8,4,13,0,2,0,0,0,0,0,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1
0,1,5,18,3,22,0,2,0,0,0,0,0,1,2,1,1,0,0,0,1,1,1,2,2,1,1,0
0,0,2,8,1,1,0,2,0,0,0,0,0,-1,-1,1,1,1,1,1,1,1,1,0,0,1,1,0
0,0,4,9,4,9,0,1,0,0,0,0,0,2,1,0,1,2,1,0,0,1,1,0,1,1,0,0
0,1,2,8,3,11,0,2,2,1,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0
1,0,2,17,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0
2,1,5,8,4,12,0,2,2,1,0,0,1,2,2,0,0,1,0,0,0,0,0,0,-1,0,0,0
1,0,2,8,1,28,0,2,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1
0,0,0,8,4,13,0,2,0,0,0,0,0,1,1,2,1,2,2,0,1,1,1,1,1,1,1,1
1,0,4,15,4,13,0,1,0,0,0,0,0,-1,0,0,1,1,1,0,0,1,1,1,0,0,0,0
0,0,4,17,1,31,0,2,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0
0,0,2,17,0,14,0,2,0,0,0,0,0,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1
0,0,2,20,4,13,0,2,0,0,0,0,0,2,2,1,0,1,0,0,1,1,1,1,1,1,0,1
1,0,5,17,0,33,0,2,0,0,0,0,0,1,1,-1,-1,1,1,0,0,1,1,-1,-1,0,0,0
1,0,1,17,3,27,0,1,0,0,0,0,0,2,2,0,0,1,1,1,1,1,1,1,1,1,1,1
1,0,4,8,4,13,0,2,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,2,2,1,1,0
1,0,5,9,4,8,0,2,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,2,2,0,0,0
0,0,4,19,2,35,0,2,0,0,0,0,0,2,1,-2,1,0,1,1,0,0,1,-1,0,0,0,1
0,0,4,8,2,38,0,2,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1
0,0,4,4,4,13,0,2,0,0,0,0,0,2,2,2,2,2,2,0,1,0,0,1,1,1,1,0
0,0,2,8,3,22,0,2,0,0,0,0,0,2,1,1,0,2,1,0,1,1,0,0,0,0,0,1
0,1,2,17,0,7,0,2,0,0,0,0,0,1,2,1,1,1,2,0,0,0,0,0,1,0,0,0
0,1,2,18,4,12,1,2,0,0,0,0,0,2,2,1,1,2,2,0,0,1,0,2,2,0,1,0
0,0,2,8,4,12,0,2,2,1,1,1,1,2,1,2,2,0,1,1,1,0,1,2,2,1,1,1
1,0,4,17,3,27,0,2,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1
0,0,0,9,4,3,0,2,0,0,0,0,0,2,1,-1,-1,0,-1,0,0,1,0,1,2,1,1,0
1,0,4,17,0,4,0,2,0,0,0,0,0,2,1,0,1,1,2,0,0,1,1,2,2,0,0,1
1,1,2,17,0,23,0,2,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0
1,1,1,16,2,25,1,0,2,1,0,1,1,2,1,1,1,1,2,1,0,1,0,-1,1,0,0,0
1,0,2,17,3,22,0,2,0,0,0,0,0,1,1,0,0,1,2,0,0,1,0,1,1,1,0,0
1,0,2,8,2,38,0,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,0,0,0
1,1,2,17,1,30,0,2,0,0,0,0,0,2,2,1,2,1,2,0,1,1,1,2,2,1,1,1
0,0,0,8,0,33,0,2,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
0,0,2,8,3,26,0,2,0,0,0,0,0,2,2,0,2,2,0,0,0,1,0,1,0,0,0,1
0,1,4,9,3,22,0,2,2,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1
1,1,5,17,0,14,0,2,0,0,0,0,0,1,2,1,1,1,2,0,0,1,1,0,1,1,1,1
1,1,2,8,1,17,1,2,0,0,0,0,0,2,1,0,0,-1,2,1,0,0,0,1,0,1,0,0
0,0,4,17,0,7,0,2,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0
1,0,4,8,0,10,0,2,1,2,1,1,1,-1,1,1,1,1,0,0,0,1,1,0,0,1,1,0
1,1,4,8,3,0,0,2,0,0,0,0,0,2,2,-1,0,1,2,1,1,1,1,0,1,1,1,0
0,0,5,17,0,7,0,2,0,0,0,0,0,1,1,1,1,1,2,0,0,1,1,1,1,0,0,0
1,1,4,9,4,9,0,2,0,0,0,0,0,2,2,1,1,2,2,0,0,1,0,-2,2,1,1,0
0,0,2,17,0,7,0,2,0,0,0,0,0,2,1,1,1,2,1,0,0,1,0,-1,0,1,1,0
0,0,2,17,4,13,0,2,2,1,1,0,1,1,-1,1,1,1,1,0,0,0,0,0,0,0,0,0
2,1,3,9,2,35,0,2,0,0,0,0,0,2,0,1,2,2,2,0,1,0,0,1,2,1,0,1
0,0,4,17,4,5,0,2,0,0,0,0,0,0,-1,1,0,1,1,0,0,0,1,1,2,1,0,0
1,1,2,8,1,30,0,2,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1
1,1,4,17,3,26,0,2,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1
2,0,5,7,0,16,0,2,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0
0,0,4,17,0,33,0,2,0,0,0,0,0,2,2,1,1,0,2,0,0,0,0,1,1,1,1,0
1,0,2,15,2,38,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0
2,1,3,1,3,26,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0
0,0,4,8,3,26,0,2,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0
1,0,5,6,1,30,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
0,0,4,17,2,35,0,2,0,0,0,0,0,2,2,1,1,2,2,0,0,1,1,-1,1,0,0,0
1,0,2,8,0,33,0,2,0,0,0,0,0,2,2,2,2,2,2,0,0,1,1,0,0,0,0,1
0,0,0,17,0,6,0,2,0,0,0,0,0,0,2,1,1,2,0,0,0,1,1,1,1,1,0,0
0,0,4,17,2,38,0,2,0,0,0,0,0,1,-1,1,1,1,1,1,1,0,0,1,1,0,1,1
0,0,0,7,1,17,0,2,0,0,0,0,0,2,2,1,1,2,2,0,0,1,0,1,1,0,1,1
1,0,4,9,2,37,0,2,0,0,0,0,0,1,-1,1,1,1,1,0,0,0,0,1,1,0,0,0
1,0,5,17,2,35,0,2,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0
0,1,4,17,3,11,0,2,0,0,0,0,0,2,2,1,1,2,2,0,0,1,1,2,2,1,0,0
0,0,4,8,0,14,0,2,0,0,0,0,0,2,2,2,2,2,2,1,0,1,0,2,2,0,0,0
1,1,5,8,2,38,0,2,0,0,0,0,0,0,0,1,-1,1,0,1,1,1,1,0,0,0,1,0
1,0,5,8,0,24,0,2,0,0,0,0,0,0,0,0,-1,0,1,0,0,1,1,0,0,0,0,0
0,0,2,17,4,9,0,2,0,0,0,0,0,1,-1,1,1,1,1,0,0,1,0,1,1,0,1,0
1,1,4,16,3,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,1,2,0,23,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1
0,0,0,8,3,11,0,2,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,1,1
1,0,4,8,4,8,0,2,0,0,0,0,0,1,2,1,1,1,1,0,0,1,0,0,0,0,0,0
1,0,2,17,0,6,0,2,0,0,0,0,0,1,0,1,1,2,2,1,1,1,1,0,0,1,0,0
1,1,2,8,3,27,0,2,0,0,0,0,0,1,1,0,-1,1,1,0,0,0,1,2,0,1,0,0
1,0,4,16,3,27,0,2,0,0,0,0,0,1,1,2,1,0,0,0,0,1,1,1,1,0,1,0
0,0,4,8,2,25,0,2,0,0,0,0,0,1,1,-1,1,1,1,0,0,0,0,1,1,0,0,1
0,0,4,8,4,8,0,2,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0
1,0,2,9,0,14,0,2,0,0,0,0,0,2,2,2,0,2,2,1,1,1,1,0,0,1,1,1
1,0,0,17,3,26,0,1,0,0,0,0,0,2,2,-1,1,2,1,0,0,1,0,2,1,0,0,0
0,0,2,8,1,1,0,2,0,0,0,0,0,-1,1,1,1,1,0,0,0,1,1,1,1,0,0,0
1,0,2,19,3,11,1,2,0,0,0,0,0,2,1,1,1,1,1,0,0,1,0,0,1,0,0,0
1,0,2,8,3,27,0,2,0,0,0,0,0,2,2,1,0,1,1,1,1,1,1,0,2,0,0,0
1,0,1,8,4,12,0,2,0,0,0,0,0,2,1,1,1,2,2,1,1,0,0,2,2,0,0,0
1,0,2,8,2,35,0,2,0,0,0,0,0,1,1,1,1,2,1,0,0,1,0,-1,1,0,0,0
0,2,4,8,0,6,0,2,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1,1,0,0,0,0,0
1,1,5,17,0,14,0,2,0,0,0,0,0,2,1,1,1,1,1,1,0,1,1,0,0,1,1,1
0,0,4,17,0,10,0,2,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0
1,1,4,8,0,4,0,2,0,0,0,0,0,-1,0,2,1,1,1,0,0,1,1,0,0,1,0,0
0,0,4,8,4,9,0,2,0,0,0,0,0,1,2,1,0,1,1,1,1,0,0,-1,1,1,1,1
1,0,5,16,1,30,0,2,0,0,0,0,0,-1,1,1,-1,0,0,1,1,1,1,1,1,0,0,0
0,1,4,8,2,21,0,2,0,0,0,0,0,0,-1,1,2,2,2,0,0,1,0,1,0,1,1,0
0,0,4,8,4,8,0,2,0,0,0,0,0,2,2,2,2,2,2,0,0,1,1,1,1,0,0,0
1,0,2,17,4,8,0,2,1,2,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1
0,0,4,17,0,21,0,2,0,0,0,0,0,2,2,0,1,2,2,0,1,1,0,0,1,1,0,0
1,0,0,13,2,38,1,1,0,0,0,0,0,1,0,2,1,1,1,0,0,0,0,1,1,0,0,0
1,0,2,8,4,8,0,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,5,17,2,38,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
2,1,4,19,0,2,0,2,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,2,0,0,1
1,0,0,17,4,8,0,1,0,0,0,0,0,0,0,1,1,1,2,0,0,1,1,1,1,0,0,0
1,1,4,17,4,5,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
1,0,4,9,0,2,0,2,0,0,0,0,0,2,2,1,1,2,2,0,1,1,0,1,1,1,1,1
0,0,2,17,1,17,0,2,0,0,0,0,0,2,1,1,0,2,2,0,0,1,1,0,1,1,1,0
0,0,4,17,0,33,0,2,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,1,1,0,1,0
1,0,4,8,1,30,0,2,0,0,0,0,0,2,2,2,2,2,2,0,0,1,1,0,1,1,1,1
1,1,4,8,4,29,0,2,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0
0,0,4,8,0,19,0,2,0,0,0,0,0,2,2,1,1,1,1,0,0,1,1,2,2,0,0,1
0,1,4,18,1,1,0,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1
0,0,0,8,4,5,0,2,0,0,0,0,0,2,2,1,1,1,2,0,0,1,0,0,0,1,1,0
1,0,4,17,3,26,0,2,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,2,1,0,0,0
0,0,2,16,3,26,0,1,0,0,0,0,0,1,1,1,1,2,2,0,0,1,1,2,2,1,0,0
0,0,2,17,0,14,0,1,0,0,0,0,0,2,2,1,1,2,2,0,0,1,1,-1,0,1,0,0
1,0,0,21,4,8,0,2,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0
1,0,2,17,1,30,0,2,0,0,0,0,0,1,-1,0,0,1,-2,0,0,1,1,2,2,1,1,1
1,0,2,17,1,1,0,2,0,0,0,0,0,1,1,0,1,2,1,0,0,1,1,0,1,0,0,0
0,0,2,19,1,17,0,2,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0
0,0,4,8,3,22,0,1,0,0,0,0,0,2,2,0,-1,2,2,0,0,1,0,1,1,0,1,1
0,0,4,17,0,32,0,2,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0
1,0,4,19,2,25,0,2,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0
1,0,4,9,1,17,0,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,2,2,1,1,1
2,1,4,8,3,27,0,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0
1,1,2,9,2,35,0,2,0,0,0,0,0,2,2,2,1,2,2,1,1,1,1,1,1,1,0,0
1,0,2,17,3,26,0,2,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0
1,1,5,17,0,23,0,2,0,0,0,0,0,1,2,2,1,1,2,0,1,1,1,2,2,1,0,0
1,1,2,8,3,26,0,2,2,2,1,1,0,2,1,1,1,2,1,0,0,1,1,1,1,1,0,0
2,1,4,8,1,30,0,2,0,0,0,0,0,1,0,1,1,1,2,0,1,1,1,2,2,1,1,1
1,0,0,17,4,5,0,2,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0
0,0,4,9,4,13,0,2,0,0,0,0,0,0,-1,-1,-1,0,0,0,1,1,1,0,1,0,0,0
1,0,1,8,1,17,0,2,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0
0,0,5,9,2,35,0,2,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0
1,0,4,16,2,25,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1
0,1,4,9,4,8,0,2,0,0,0,0,0,2,2,1,2,2,2,1,1,0,1,1,1,0,1,1
0,0,4,8,4,5,0,2,0,0,0,0,0,0,-1,0,-1,1,1,1,1,0,1,-1,1,1,1,0
0,0,4,9,0,23,0,2,0,0,0,0,0,1,1,1,2,1,2,0,0,0,0,0,0,0,0,0
0,0,4,9,1,1,0,2,0,0,0,0,0,1,1,0,-1,0,1,0,1,1,0,1,1,1,0,1
1,1,4,9,0,10,0,2,0,0,0,0,0,1,1,1,0,2,2,0,0,1,1,2,2,1,1,0
0,0,4,8,3,11,0,2,2,2,1,1,1,2,1,1,1,1,1,0,0,1,1,1,1,1,1,1
1,1,4,9,0,2,0,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,1,1,0,0,0
0,0,4,9,4,13,0,2,0,0,0,0,0,1,-1,1,1,1,1,1,1,0,0,1,1,0,0,0
1,0,5,17,2,21,0,2,0,0,0,0,0,-1,-1,2,2,2,2,1,0,1,1,-1,2,0,0,0
2,0,3,21,0,33,1,0,0,0,0,0,0,2,2,1,1,2,2,0,1,1,1,1,2,0,0,1
1,1,2,8,4,5,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
3,0,3,8,1,18,0,0,0,0,0,0,0,2,2,2,1,1,1,0,0,1,1,0,0,1,1,0
0,1,2,8,1,19,0,2,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0
0,0,2,17,2,21,0,2,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1
0,0,5,17,0,23,0,2,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1
1,0,5,9,2,38,0,2,0,0,0,0,0,1,1,1,-1,0,1,1,0,0,1,1,1,0,0,0
0,0,4,9,3,11,0,2,0,0,0,0,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0
1,0,0,9,3,0,0,1,0,0,0,0,0,1,1,2,2,2,2,1,0,1,1,0,2,0,1,1
1,1,4,8,2,35,0,2,2,2,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0
1,0,2,17,0,7,0,2,2,1,1,1,1,2,2,2,1,2,2,0,0,1,1,0,1,0,1,0
1,0,0,17,0,7,0,0,0,0,0,0,0,0,1,0,-1,0,0,1,1,1,1,1,1,0,1,0
1,1,4,15,2,38,0,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,1,-1,0,1,0,1
1,1,5,15,4,8,0,0,0,0,0,0,0,1,1,1,2,1,1,0,0,0,0,0,2,0,1,1
1,0,5,22,0,14,0,2,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0
1,1,4,17,4,9,0,2,0,0,0,0,0,2,1,1,-1,2,1,1,1,1,0,1,2,0,0,0
1,1,4,17,1,17,0,2,0,0,0,0,0,1,2,2,0,0,2,1,0,0,1,2,0,1,0,0
1,0,3,9,0,33,0,2,0,0,0,0,0,2,1,1,1,2,1,0,0,1,1,1,-1,1,0,0
